start,end,text
0.0,5.0,好きな曲ってか、聞き馴染みのある
5.0,8.0,微笑み上手くない?君
8.0,11.0,都会の人混み
11.0,16.0,街の人混み 肩がぶつかって 一人ぼっち
16.0,22.0,街の人混み 肩がぶつかって
22.0,25.0,Dm7
25.0,27.0,こうか
27.0,29.0,違う
29.0,32.0,ちょっとなんかわかりやすいやつにして
35.0,38.0,お前ね、お前なんか難しくない?
38.0,40.0,ハテナ、Fでハテナ
40.0,42.0,E、Em、や
42.0,44.0,Am、ミから
44.0,46.0,Dm、飛び出そう
46.0,47.0,Gm、うー
47.0,48.0,ほーじは
48.0,50.0,F、ハンド
51.0,52.0,え!?
52.0,54.0,違う
55.0,60.0,ハテナ、E、Am、ミから
60.0,63.0,Dm、飛び出そう
63.0,65.0,Gm、うー
65.0,66.0,ほーじは
66.0,67.0,F、ハンド
67.0,69.0,あ、なるほど!
70.0,74.0,ハテナ、E、Am、ミから
74.0,76.0,Dm、違う
78.0,80.0,美しくねえな
80.0,85.0,ハテナ、E、Am、ミから
85.0,88.0,Dm、飛び出そう
88.0,89.0,Gm、うー
89.0,90.0,ほーじは
90.0,93.0,なるほどね、OK
93.0,95.0,マスターしたわ
97.0,101.0,いやDm俺できるんだけどなんかね、パッて
101.0,103.0,こうだよね
104.0,109.0,あったあったあった、いくよ
109.0,111.0,いくよ
111.0,116.0,だんだん心惹かれてく
116.0,117.0,ゆっくりいくよ
117.0,121.0,その眩しい笑顔
121.0,123.0,E!?
126.0,127.0,Eってどこだ?
127.0,129.0,ごめん、Eがわかんない
130.0,132.0,Eってどこだ?
132.0,133.0,Em?
133.0,136.0,あなた誰?僕あのさすらいのギタリスト順一です
139.0,141.0,国劇アートの1句目
141.0,144.0,Emに人差し指を
144.0,147.0,Emに人差し指をどこに足すの?
149.0,151.0,Emを押さえて
151.0,153.0,人差し指どこ?
153.0,155.0,3弦1フレ
155.0,157.0,3弦1フレ
161.0,163.0,あ、ここか、なるほど
